GeneID	logFC	logCPM	F	PValue	FDR	hgnc_symbol
ENSG00000000003	-0.196774722704788	5.87828140365038	0.12159178986395	0.733608385894291	0.822084270360604	TSPAN6
ENSG00000000005	-8.22242726102546	3.04430645448144	53.8663216477546	1.13668300330921e-05	0.000817969577295007	TNMD
ENSG00000000419	0.0684839393611742	4.84970847933145	0.0465013201757644	0.8330402522386	0.8926487528141	DPM1
ENSG00000000457	0.887680394797127	4.61236905868154	4.53550696852084	0.0555291817372896	0.137126408684227	SCYL3
ENSG00000000460	1.27175890238479	2.94484309099246	7.29990936738932	0.0198669784779637	0.0688691672252312	C1orf112
ENSG00000000938	-3.09305335947002	3.65632466406881	29.4618971578743	0.000177035375611977	0.003730563627695	FGR
ENSG00000000971	-4.50283315217709	6.94855920683494	102.499118209872	4.4629040158557e-07	0.000175151272685765	CFH
ENSG00000001036	-0.0753801306884304	6.00868413497804	0.0617704996999016	0.808097253526712	0.875902178486166	FUCA2
ENSG00000001084	-0.857113388603989	5.51268544438287	5.108230160621	0.044074748823266	0.117001091330819	GCLC
ENSG00000001167	1.07584985242592	5.51152264599817	10.6280568680167	0.00718186621713033	0.0360551557804157	NFYA
ENSG00000001460	0.1101932588812	3.38456554892876	0.114112890100265	0.741589179614258	0.827875766026844	STPG1
ENSG00000001461	0.697348427443985	5.58901034868243	1.54331230282806	0.238836555319686	0.379876654412901	NIPAL3
ENSG00000001497	0.994097400867101	5.6226547754246	10.8776428582704	0.00670220899384586	0.0345377485145558	LAS1L
ENSG00000001561	-1.38501210893167	4.78607858988933	5.01522587708839	0.0457257633077267	0.120081731044455	ENPP4
ENSG00000001617	1.67887556478988	6.3235994245797	15.9289831709871	0.00193895492540181	0.015927129744372	SEMA3F
ENSG00000001626	-3.2763882202795	-0.721915928207965	8.13229646992086	0.0151180932573464	0.0575674462079047	CFTR
ENSG00000001629	0.156158926462856	6.12197906463836	0.135175684463185	0.719795159469922	0.812089222810579	ANKIB1
ENSG00000001630	1.55235772399753	1.98091515430928	4.50761988398372	0.0561735638750254	0.138183751747174	CYP51A1
ENSG00000001631	-0.241514271416994	5.02545369390157	0.657416681341198	0.433915972964491	0.577892401376086	KRIT1
ENSG00000002016	0.76980804584479	3.18386674562641	1.9374035865248	0.190257160494532	0.322973449586495	RAD52
ENSG00000002079	1.42984274092208	-2.2003660073161	4.22437748453294	0.063260138697272	0.150103482271247	MYH16
ENSG00000002330	1.30012657161075	5.2417787587896	8.98724274234819	0.0115790665532876	0.0484009460441725	BAD
ENSG00000002549	-0.759806841569651	6.66523082670518	3.7557922474671	0.0775361213201953	0.172457000757269	LAP3
ENSG00000002586	-1.57287802918364	7.71353574843028	11.4769324557701	0.00569697538454142	0.0310538836469202	CD99
ENSG00000002587	-1.42158707361233	1.86289707957304	9.63830612325492	0.00953165286784202	0.0429271079574654	HS3ST1
ENSG00000002726	-0.545088825786538	-1.1310759963737	0.426907442807244	0.526344993201686	0.660100428958239	AOC1
ENSG00000002745	-0.3828179703804	-2.75637168393617	0.103316256982645	0.753646284164047	0.836576473734222	WNT16
ENSG00000002746	0.485017195455916	-0.623265063087022	0.381797444428053	0.548671403588122	0.678241982114935	HECW1
ENSG00000002822	0.678806340157816	4.33246575927264	3.77800310900035	0.076775889474855	0.171371659047196	MAD1L1
ENSG00000002834	0.318800763910888	8.23112783520802	0.851107939519146	0.375169531656738	0.523953155796026	LASP1
ENSG00000002919	-0.362498390021684	4.83062566619784	1.46528785466317	0.250357304940583	0.392421859604599	SNX11
ENSG00000002933	-0.647875687923539	5.2844932183399	0.828863803997143	0.381268297911791	0.52956905038307	TMEM176A
ENSG00000003056	-0.245437115196297	6.03766486480579	0.352029541478459	0.564441376049172	0.691356500158217	M6PR
ENSG00000003096	-2.32333677528666	3.81374247434822	5.51318050001814	0.0376710355327054	0.105453580278395	KLHL13
ENSG00000003137	-4.77308001957051	4.53622114738512	111.039331889059	2.93507228596871e-07	0.000156717281622259	CYP26B1
ENSG00000003147	1.0650029682353	5.24090974998907	9.57266700474745	0.00971743138057382	0.0435100405551348	ICA1
ENSG00000003249	3.63068873474874	5.09288894352299	33.282681235686	0.000104560164336394	0.00272993670878282	DBNDD1
ENSG00000003393	-0.354283255475318	4.72089969558102	2.19005767464902	0.165742292505146	0.293593507822735	ALS2
ENSG00000003400	-2.46773045973463	4.08335913037473	15.3497634221924	0.00220591731769821	0.0171621477910913	CASP10
ENSG00000003402	-2.3634106835891	6.89090827387423	28.9947667820885	0.000189462637466794	0.00390371975947206	CFLAR
ENSG00000003436	-0.584377024247787	6.42609139582062	0.246452563686831	0.628926993460017	0.742927710730444	TFPI
ENSG00000003509	0.217254446992341	3.49083327892181	0.462269147873233	0.510006464370542	0.645734833652277	NDUFAF7
ENSG00000003756	-0.586747550079601	6.14666907071649	3.4782468121632	0.0878596316831695	0.188156187713688	RBM5
ENSG00000003987	0.732407957666854	1.04565485331559	1.81188499821316	0.204190157869042	0.339957663665739	MTMR7
ENSG00000003989	1.13659560045585	6.84811253463154	0.779336361102393	0.395404524227774	0.542348655360685	SLC7A2
ENSG00000004059	1.38651702965351	7.10889507162743	10.0704808737896	0.00840820882548024	0.0397348935798928	ARF5
ENSG00000004139	1.34484784205432	3.39563041080944	3.05012755123762	0.107326602840979	0.216130498065093	SARM1
ENSG00000004142	0.807362225008521	6.99279730691237	11.1096755051871	0.00628992124509849	0.0331416359689276	POLDIP2
ENSG00000004399	-0.577290375227756	7.61990846690549	1.68051549273154	0.220240196135651	0.358559218374529	PLXND1
ENSG00000004455	0.441797723093168	6.77801145244741	2.33493904208844	0.153498019645254	0.27767329058596	AK2
ENSG00000004468	-2.7530715853908	1.68355818842846	14.2531263360886	0.00284003073687701	0.0200056296208786	CD38
ENSG00000004478	2.67769261926173	8.34861498274652	45.921790166782	2.42617008418488e-05	0.00121431286096096	FKBP4
ENSG00000004487	0.824752305866902	6.44390848569855	5.05989553316004	0.0449236566527514	0.118592505951236	KDM1A
ENSG00000004534	-0.429896421287438	5.79547595124866	1.39704273096866	0.261058535412007	0.404707021635329	RBM6
ENSG00000004660	0.563292186086739	3.66235891098772	1.02800580405827	0.33146322986913	0.479264816287382	CAMKK1
ENSG00000004700	-1.23119967932546	4.75801677047107	9.30351792475558	0.0105254902945469	0.0456621611595265	RECQL
ENSG00000004766	-0.0490471224114122	4.71803365124383	0.014227665918271	0.907109818966538	0.943038736658439	VPS50
ENSG00000004776	-5.13915938278596	7.5439625603768	20.644573079207	0.000747705146783719	0.00901063326537391	HSPB6
ENSG00000004777	1.51739351504579	2.79353837433554	7.14809850753449	0.0209145214020685	0.0711120940587106	ARHGAP33
ENSG00000004779	0.957197388324967	5.82280434453321	9.44292748478606	0.010097406345773	0.0445049631376304	NDUFAB1
ENSG00000004799	-4.8293994563275	9.11582985009425	28.7351892868075	0.000196810670178133	0.00398808759324845	PDK4
ENSG00000004809	1.1818459752121	-1.5483945513168	1.47482682767842	0.248909169699802	0.390871973377427	SLC22A16
ENSG00000004838	3.52984382504629	3.08516683434211	10.7380313855209	0.00696567588289048	0.035422940395818	ZMYND10
ENSG00000004846	-5.93985432215441	1.7875709510227	28.1638763028216	0.000214196314929442	0.00418656433725727	ABCB5
ENSG00000004848	4.87482080854669	-1.47776909808318	6.75002071938674	0.0239900233700258	0.0776887135329259	ARX
ENSG00000004864	0.164105246254884	4.22663757610968	0.452843776148441	0.514269098542611	0.649284010603002	SLC25A13
ENSG00000004866	-0.370531984723388	5.00500187066584	1.27706078951364	0.281441642865483	0.427671600998652	ST7
ENSG00000004897	-0.253568849752307	6.18302930763806	0.548564548829691	0.47374104571273	0.614356253069854	CDC27
ENSG00000004939	-4.33736545739189	-1.08954592164592	15.5364291579623	0.00211540761854975	0.0167585560296836	SLC4A1
ENSG00000004948	-2.14315939160531	-0.237201932302553	3.15977794687463	0.101871776193135	0.208249662370836	CALCR
ENSG00000004961	0.10259935851468	4.26356833062791	0.0891595286426359	0.77056929911111	0.848996297870959	HCCS
ENSG00000004975	0.086255406152366	4.61800821466351	0.0856122861757828	0.775037561909924	0.852248330808222	DVL2
