ensembl_gene_id	logFC_DCM	PValue_DCM	hgnc_symbol	entrezgene
ENSG00000000003	-0.0559002228447125	0.797758437550248	TSPAN6	7105
ENSG00000000005	2.92402118763016	9.55836547991542e-05	TNMD	64102
ENSG00000000419	-0.092804147143653	0.700769423904972	DPM1	8813
ENSG00000000457	0.123441675816824	0.603937227282594	SCYL3	57147
ENSG00000000460	-0.0769229444129798	0.81063031254211	C1orf112	55732
ENSG00000000938	-0.14915483718179	0.741070271467071	FGR	2268
ENSG00000000971	0.144275713506953	0.69902409540105	CFH	3075
ENSG00000001036	-0.143684970356698	0.240894065030331	FUCA2	2519
ENSG00000001084	-0.304862402434146	0.127865883539767	GCLC	2729
ENSG00000001167	0.221582288250408	0.273183698404795	NFYA	4800
ENSG00000001460	0.170301069133165	0.470138607842504	STPG1	90529
ENSG00000001461	-0.172618126392871	0.417261429784778	NIPAL3	57185
ENSG00000001497	0.00841056350423645	0.964803612497846	LAS1L	81887
ENSG00000001561	-0.652073894396018	0.0206191123913857	ENPP4	22875
ENSG00000001617	-0.710133969134347	0.0217102339288478	SEMA3F	6405
ENSG00000001626	-0.895291845544982	0.182213325484454	CFTR	1080
ENSG00000001629	-0.0382830871521891	0.753792988660299	ANKIB1	54467
ENSG00000001630	-0.476430635383997	0.054969578258769	CYP51A1	1595
ENSG00000001631	-0.182985252268845	0.314825963197485	KRIT1	889
ENSG00000002016	0.859566556584936	0.00210953266520354	RAD52	5893
ENSG00000002330	-0.065814738797	0.736922969976749	BAD	572
ENSG00000002586	0.152848117053141	0.685200227358951	CD99	4267
ENSG00000002587	-0.263835951390461	0.407792433316696	HS3ST1	9957
ENSG00000002726	0.654225929899494	0.341176533188229	AOC1	26
ENSG00000002746	0.141768705720817	0.818767363817661	HECW1	23072
ENSG00000002822	0.490008014734272	0.0609774835018121	MAD1L1	8379
ENSG00000002834	0.0514498412705865	0.741830503983159	LASP1	3927
ENSG00000002919	0.182813281912528	0.369873445639047	SNX11	29916
ENSG00000002933	0.359189303661122	0.240287083822326	TMEM176A	55365
ENSG00000003056	-0.020769781238907	0.907069336966054	M6PR	4074
ENSG00000003096	0.26305697489842	0.271696233521183	KLHL13	90293
ENSG00000003137	1.17416487817416	0.0128947841698649	CYP26B1	56603
ENSG00000003147	-0.258656617316955	0.2976297690677	ICA1	3382
ENSG00000003249	0.108577425248802	0.782395812877	DBNDD1	79007
ENSG00000003393	-0.0753979849303533	0.672147326818842	ALS2	57679
ENSG00000003400	-0.149673417945134	0.492038863143624	CASP10	843
ENSG00000003402	-0.0445643227967017	0.743198568395692	CFLAR	8837
ENSG00000003436	-0.329405340897002	0.166546076804155	TFPI	7035
ENSG00000003509	-0.155811319025767	0.412371059919057	NDUFAF7	55471
ENSG00000003756	0.234697454428013	0.114242499718482	RBM5	10181
ENSG00000003989	-0.0322267917905598	0.901719959512123	SLC7A2	6542
ENSG00000004059	0.29369054069271	0.0713772397490596	ARF5	381
ENSG00000004139	0.331231415977147	0.0721055389143379	SARM1	23098
ENSG00000004399	0.0813752348899081	0.591605338462175	PLXND1	23129
ENSG00000004455	-0.201642407550074	0.195974575726541	AK2	204
ENSG00000004468	-0.0625750559643718	0.886753948998222	CD38	952
ENSG00000004478	0.0416322173729229	0.823828607806458	FKBP4	2288
ENSG00000004487	-0.180764312972409	0.209196722525155	KDM1A	23028
ENSG00000004534	-0.101445390252899	0.606438135582598	RBM6	10180
ENSG00000004660	0.0655607339393257	0.786212006271002	CAMKK1	84254
ENSG00000004700	-0.137076885003527	0.56885264271927	RECQL	5965
ENSG00000004766	0.057172674319547	0.769512932354291	VPS50	55610
ENSG00000004776	0.529331809327598	0.189362352372657	HSPB6	126393
ENSG00000004777	0.60833472776411	0.0635233356787723	ARHGAP33	115703
ENSG00000004779	-0.257538713051937	0.246354731806797	NDUFAB1	4706
ENSG00000004799	-0.494488382661683	0.422511083943436	PDK4	5166
ENSG00000004838	0.156670929298959	0.809249960507915	ZMYND10	51364
ENSG00000004864	-0.256931843199186	0.224057556408989	SLC25A13	10165
ENSG00000004866	-0.105707162052919	0.475392227734642	ST7	7982
ENSG00000004897	-0.268920146748847	0.0481992278255922	CDC27	996
ENSG00000004961	0.140828862540101	0.527119938685637	HCCS	3052
ENSG00000004975	0.052981151986505	0.777318665875735	DVL2	1856
ENSG00000005007	0.181030969941037	0.262385574780863	UPF1	5976
ENSG00000005020	-0.0326521234187167	0.917521263146492	SKAP2	8935
ENSG00000005022	-0.161819969814695	0.662587096016261	SLC25A5	292
ENSG00000005059	0.278360580495975	0.475810725526494	MCUB	55013
ENSG00000005075	0.151652311493573	0.614734364117417	POLR2J	5439
ENSG00000005100	-0.173896369581668	0.345156293852211	DHX33	56919
ENSG00000005102	0.157993216790303	0.514635474714746	MEOX1	4222
ENSG00000005108	-0.505685402215717	0.289333853317402	THSD7A	221981
ENSG00000005156	-0.135611581004587	0.492629507054358	LIG3	3980
ENSG00000005175	-0.354904997159712	0.298368366744836	RPAP3	79657
ENSG00000005187	0.486335634199886	0.135086704253053	ACSM3	6296
ENSG00000005189	0.26773293924808	0.411829655952779	REXO5	81691
ENSG00000005194	-0.0502091202913973	0.72501520947105	CIAPIN1	57019
ENSG00000005238	0.290942142568238	0.0622191362162541	FAM214B	80256
ENSG00000005243	0.395324958327633	0.0285346690079137	COPZ2	51226
ENSG00000005249	-0.264206234319843	0.297272668936521	PRKAR2B	5577
ENSG00000005302	-0.146046473481226	0.474134094878788	MSL3	10943
ENSG00000005339	-0.0834117695709554	0.499235906724715	CREBBP	1387
ENSG00000005379	0.37221180326937	0.241874356176638	TSPOAP1	9256
ENSG00000005381	0.373045064167707	0.551748214020224	MPO	4353
ENSG00000005421	0.42534712339182	0.54075850309423	PON1	5444
ENSG00000005436	-0.0176752902539988	0.928941784740671	GCFC2	6936
ENSG00000005448	0.771110900737367	0.0277587796085909	WDR54	84058
ENSG00000005469	-0.0331816206767503	0.881012964335504	CROT	54677
ENSG00000005471	-0.24709750756442	0.306761595587895	ABCB4	5244
ENSG00000005483	0.0698486272591281	0.606758958499885	KMT2E	55904
ENSG00000005486	0.453846528341065	0.00671536260001852	RHBDD2	57414
ENSG00000005513	0.339165849597849	0.393464774927565	SOX8	30812
ENSG00000005700	-0.405354721190806	0.0195291294750529	IBTK	25998
ENSG00000005801	-2.3919155302798	0.00364541661841906	ZNF195	7748
ENSG00000005810	-0.408671435558645	0.0108938543006015	MYCBP2	23077
ENSG00000005812	-0.229867189555765	0.418754034337291	FBXL3	26224
ENSG00000005844	0.794596001011675	0.0426829387265547	ITGAL	3683
ENSG00000005882	0.0674585008167746	0.769377216439733	PDK2	5164
ENSG00000005884	-0.338232067014471	0.238821567567539	ITGA3	3675
ENSG00000005889	-0.175514699069645	0.343809455166761	ZFX	7543
ENSG00000005893	-0.345634416527158	0.102383881826901	LAMP2	3920
ENSG00000005961	-0.118227965778697	0.828373835072809	ITGA2B	3674
ENSG00000005981	-0.661239623520578	0.15231008193662	ASB4	51666
ENSG00000006007	-0.0378033425556283	0.807986348952291	GDE1	51573
ENSG00000006015	0.287033656626347	0.258092604437455	REX1BD	55049
ENSG00000006016	1.46148976340725	0.00309332847537405	CRLF1	9244
ENSG00000006025	0.52415498007167	0.00948800633010818		114881
ENSG00000006042	-0.0102227452460782	0.96289665403906	TMEM98	26022
ENSG00000006047	1.00629274742551	0.0628833684475275	YBX2	51087
ENSG00000006071	0.784853090616696	0.0570086108271896	ABCC8	6833
ENSG00000006118	0.426260854650554	0.158667997881797	TMEM132A	54972
ENSG00000006125	0.000839901397853903	0.996554597780728	AP2B1	163
ENSG00000006194	-0.0824197365391389	0.658769462190995	ZNF263	10127
ENSG00000006210	-0.623375513631033	0.0402254228412259	CX3CL1	6376
ENSG00000006282	0.28285322773284	0.104769158552921	SPATA20	64847
ENSG00000006283	0.323033973765179	0.423201857966707	CACNA1G	8913
ENSG00000006327	0.419890488680677	0.456915689814843	TNFRSF12A	51330
