entrezgene	hgnc_symbol	logFC_BC	PValue_BC	logFC_MUO	PValue_MUO	logFC_RA	PValue_RA	logFC_DCM	PValue_DCM
7105	TSPAN6	-0.634662483342073	4.62583125623057e-06	-0.195399693	0.075489177	-0.30046001263284	0.0186552623452389	-0.0559002228447125	0.797758437550248
64102	TNMD	-4.02224750511649	1.66110946668209e-30	1.804129476	1.62e-06	-0.0486081560450056	0.819647070036239	2.92402118763016	9.55836547991542e-05
8813	DPM1	0.356797580553909	6.12910149562264e-05	-0.403564454	0.00015691	-0.344733908827584	0.0232853607227872	-0.092804147143653	0.700769423904972
57147	SCYL3	0.303383044378524	0.000138470573581052	-0.154889786	0.170040143	0.0831167749902515	0.480304167586764	0.123441675816824	0.603937227282594
55732	C1orf112	1.09835528116282	1.73822764061973e-28	0.086539134	0.013563482	-0.214735686176869	0.0369549376388986	-0.0769229444129798	0.81063031254211
2268	FGR	-0.335620274086179	0.0817300886496924	0.55657959	9.11e-08	1.34143361601211	6.74917842543719e-06	-0.14915483718179	0.741070271467071
3075	CFH	-1.30885671607777	9.32112582597195e-14	1.057599747	8.37e-06	-1.80876860012788	3.02871341190641e-05	0.144275713506953	0.69902409540105
2519	FUCA2	0.243675514019007	0.0108861085756057	0.272687641	0.00320788	NA	NA	-0.143684970356698	0.240894065030331
2729	GCLC	-0.312517617209626	0.00337200496814591	NA	NA	-0.15697568592557	0.423217272488706	-0.304862402434146	0.127865883539767
4800	NFYA	0.484718883310231	1.68947289282304e-09	0.071602954	0.51169374	-0.0906929468678421	0.271478750416874	0.221582288250408	0.273183698404795
90529	STPG1	-0.0341862060664501	0.608763531537867	-0.088727679	0.058982474	NA	NA	0.170301069133165	0.470138607842504
57185	NIPAL3	-0.104247756112909	0.362757943896652	-0.064453125	0.238039419	0.00262692442694679	0.971098975054327	-0.172618126392871	0.417261429784778
81887	LAS1L	0.362093781910825	2.1431564123969e-08	-0.108049666	0.102137754	-0.396138098852981	0.0130417709393613	0.00841056350423645	0.964803612497846
22875	ENPP4	-0.389813159227597	0.00869116745989719	-0.045689176	0.657908963	-1.59441819564242	0.000131892862184534	-0.652073894396018	0.0206191123913857
6405	SEMA3F	1.14610397811157	1.64310469973978e-21	-0.046439034	0.415014589	-0.239884017640216	0.0165686147806446	-0.710133969134347	0.0217102339288478
1080	CFTR	-1.54139669406944	3.41275181933334e-09	-0.006469726	0.722095099	0.0160893337911787	0.775982650290491	-0.895291845544982	0.182213325484454
54467	ANKIB1	0.29317889659457	0.00177781102989415	0.077078683	0.163341336	NA	NA	-0.0382830871521891	0.753792988660299
1595	CYP51A1	0.72228313531102	2.88724953615564e-07	NA	NA	NA	NA	-0.476430635383997	0.054969578258769
889	KRIT1	-0.0271087543891933	0.717749996368762	-0.212646487	0.000275125	NA	NA	-0.182985252268845	0.314825963197485
5893	RAD52	-0.264633550450038	0.00240100338938903	NA	NA	-0.115157419257046	0.158976449058335	0.859566556584936	0.00210953266520354
572	BAD	0.442917797879813	0.000124328063599586	0.011038645	0.882893931	0.00760965403119362	0.93226068522702	-0.065814738797	0.736922969976749
51056	LAP3	0.285288999808993	0.00235503822542913	0.021153042	0.818482072	1.77208567830297	1.37757511007524e-07	NA	NA
4267	CD99	-0.0259233956075575	0.867978160409209	0.285086492	0.000209436	0.295909179763044	0.149626158041664	0.152848117053141	0.685200227358951
4267	CD99	-0.0259233956075575	0.867978160409209	0.185006276	0.086590454	0.295909179763044	0.149626158041664	0.152848117053141	0.685200227358951
9957	HS3ST1	-0.12522672043339	0.442180938821629	0.014133998	0.66251053	0.0110820162915481	0.901797982773879	-0.263835951390461	0.407792433316696
26	AOC1	2.30163407623339	9.7306306274094e-16	-0.033403667	0.077766183	0.354165494587559	0.0310693496835328	0.654225929899494	0.341176533188229
51384	WNT16	0.500962611462501	0.102001837074225	-0.003356934	0.926754423	-0.0716578581088871	0.265664137814542	NA	NA
23072	HECW1	-0.0751884414114015	0.712366785963287	0.019810266	0.326187599	0.0718539896020567	0.318856659623723	0.141768705720817	0.818767363817661
8379	MAD1L1	0.287815147336402	0.0024670049872059	0.056745258	0.219373697	0.22783010968031	0.150780287422525	0.490008014734272	0.0609774835018121
3927	LASP1	0.435314274631887	5.27351427345165e-06	0.138776506	0.097943237	1.48857333253838	4.66249378670492e-06	0.0514498412705865	0.741830503983159
29916	SNX11	-0.0698447507310372	0.293784245653851	-0.300240654	0.00134473	0.351380374370055	0.000363790738320826	0.182813281912528	0.369873445639047
55365	TMEM176A	-0.0280802845662318	0.863412539522987	0.471714566	0.001126844	1.76806594070227	0.00129175158343555	0.359189303661122	0.240287083822326
4074	M6PR	0.174098631430868	0.0165938078567683	0.12838309	0.140259044	0.786600999931687	0.0285418351711839	-0.020769781238907	0.907069336966054
90293	KLHL13	-2.23982614343187	1.18512093136764e-23	0.000418529	0.98941001	NA	NA	0.26305697489842	0.271696233521183
56603	CYP26B1	-2.27397695745885	2.36778679613011e-22	0.005475724	0.960914129	-1.05040181244442	0.00371653997124217	1.17416487817416	0.0128947841698649
3382	ICA1	0.677875351337808	1.47288517782853e-13	0.002441408	0.97571887	-0.105030056415869	0.161942253675828	-0.258656617316955	0.2976297690677
